league,year,split,patch,side,position,golddiffat25,xpdiffat25,csdiffat25,kills,assists,deaths,opp_killsat25,opp_assistsat25,opp_deathsat25
15,2025,5,15.02,0,3,1538.0,1912.0,2.0,2,18,0,0.0,0.0,0.0
0,2025,5,15.01,1,3,0.0,0.0,0.0,3,8,2,0.0,0.0,0.0
14,2025,5,15.01,1,5,-1432.0,-2196.0,-4.0,2,2,7,0.0,0.0,0.0
1,2025,6,15.02,1,2,567.0,-1.0,42.0,1,1,3,0.0,0.0,0.0
6,2025,1,15.01,0,0,2559.0,2629.0,27.0,9,8,3,0.0,0.0,0.0
9,2025,2,15.02,1,5,0.0,0.0,0.0,5,7,1,0.0,0.0,0.0
4,2025,4,15.01,1,3,-838.0,-3.0,14.0,0,4,3,0.0,0.0,0.0
14,2025,5,15.01,1,3,-955.0,749.0,-4.0,0,10,2,0.0,0.0,0.0
14,2025,5,15.01,0,2,2524.0,933.0,52.0,5,11,2,0.0,0.0,0.0
1,2025,6,15.02,0,2,269.0,1575.0,15.0,8,15,0,0.0,0.0,0.0
3,2025,3,15.01,1,0,-141.0,-195.0,-5.0,3,0,3,3.0,2.0,2.0
10,2025,4,15.02,0,5,0.0,0.0,0.0,3,9,5,0.0,0.0,0.0
17,2025,5,15.01,1,5,2439.0,2550.0,57.0,7,3,3,0.0,0.0,0.0
15,2025,5,15.02,0,2,188.0,727.0,-19.0,2,12,0,0.0,0.0,0.0
0,2025,5,15.01,0,4,-1745.0,-3405.0,-44.0,12,37,11,0.0,0.0,0.0
8,2025,5,15.01,0,5,1468.0,138.0,33.0,3,5,4,0.0,0.0,0.0
1,2025,6,15.01,1,3,-535.0,-444.0,8.0,0,6,3,0.0,0.0,0.0
3,2025,3,15.01,1,3,-974.0,609.0,5.0,0,16,2,0.0,0.0,0.0
2,2025,0,15.01,0,3,454.0,-356.0,20.0,0,12,3,0.0,0.0,0.0
6,2025,1,15.01,0,5,1153.0,240.0,28.0,6,9,1,0.0,0.0,0.0
16,2025,5,15.02,1,3,-443.0,1042.0,2.0,1,3,2,0.0,0.0,0.0
5,2025,5,15.01,1,1,-1645.0,-1137.0,8.0,0,6,4,0.0,0.0,0.0
3,2025,3,15.01,0,1,-1015.0,-1062.0,-19.0,2,11,3,0.0,0.0,0.0
7,2025,5,15.01,1,2,4402.0,2815.0,54.0,9,8,2,0.0,0.0,0.0
13,2025,5,15.01,0,1,-1840.0,-3373.0,-51.0,1,3,6,0.0,0.0,0.0
2,2025,0,15.01,1,0,2857.0,1186.0,39.0,12,9,0,0.0,0.0,0.0
2,2025,0,15.01,1,0,-4702.0,-2546.0,-38.0,3,1,5,0.0,0.0,0.0
14,2025,5,15.01,0,4,-9032.0,-10506.0,-87.0,7,10,21,0.0,0.0,0.0
10,2025,4,15.01,1,3,0.0,0.0,0.0,0,6,5,0.0,0.0,0.0
11,2025,4,15.02,0,5,-3217.0,-2180.0,-38.0,2,6,5,0.0,0.0,0.0
2,2025,0,15.01,1,5,-1782.0,586.0,-12.0,2,1,3,0.0,0.0,0.0
14,2025,5,15.01,0,5,1838.0,1753.0,40.0,9,7,1,0.0,0.0,0.0
10,2025,4,15.02,1,1,0.0,0.0,0.0,4,4,4,0.0,0.0,0.0
2,2025,0,15.01,0,0,-224.0,69.0,30.0,5,5,2,0.0,0.0,0.0
6,2025,1,15.01,1,2,834.0,162.0,5.0,3,5,3,0.0,0.0,0.0
10,2025,4,15.01,0,1,0.0,0.0,0.0,1,15,2,0.0,0.0,0.0
4,2025,4,15.01,1,2,-1758.0,-741.0,-25.0,3,2,4,0.0,0.0,0.0
14,2025,5,15.01,0,3,1402.0,1628.0,4.0,1,17,3,0.0,0.0,0.0
9,2025,2,15.02,0,5,2169.0,1697.0,29.0,5,9,3,0.0,0.0,0.0
3,2025,3,15.01,1,5,2478.0,388.0,2.0,5,13,1,0.0,0.0,0.0
10,2025,4,15.01,1,5,0.0,0.0,0.0,0,4,5,0.0,0.0,0.0
2,2025,0,15.01,0,3,-1695.0,1675.0,5.0,0,4,6,0.0,0.0,0.0
2,2025,0,15.01,0,4,-6820.0,-3670.0,-73.0,8,14,16,0.0,0.0,0.0
10,2025,4,15.01,1,4,0.0,0.0,0.0,20,59,8,0.0,0.0,0.0
2,2025,0,15.01,1,5,-2001.0,-4172.0,-66.0,5,6,7,0.0,0.0,0.0
13,2025,5,15.01,0,0,920.0,-386.0,-9.0,5,5,2,0.0,0.0,0.0
13,2025,5,15.02,1,1,217.0,446.0,-3.0,3,14,1,0.0,0.0,0.0
2,2025,0,15.01,0,1,2963.0,3662.0,47.0,4,11,2,0.0,0.0,0.0
10,2025,4,15.01,1,2,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
4,2025,4,15.01,0,3,-720.0,-1722.0,3.0,3,5,5,0.0,0.0,0.0
11,2025,4,15.02,0,3,-453.0,47.0,14.0,0,10,3,0.0,0.0,0.0
3,2025,3,15.01,1,2,-119.0,-101.0,24.0,2,4,5,0.0,0.0,0.0
13,2025,5,15.01,0,1,-1260.0,-406.0,-24.0,1,3,4,0.0,0.0,0.0
4,2025,4,15.01,1,0,-680.0,-559.0,-14.0,2,0,2,0.0,0.0,0.0
12,2025,4,15.02,0,1,1550.0,1153.0,10.0,4,12,0,0.0,0.0,0.0
3,2025,3,15.01,1,0,-569.0,-294.0,14.0,4,4,3,0.0,0.0,0.0
10,2025,4,15.01,0,5,0.0,0.0,0.0,4,14,1,0.0,0.0,0.0
1,2025,6,15.01,0,5,102.0,217.0,-14.0,2,10,0,0.0,0.0,0.0
2,2025,0,15.01,1,5,1176.0,515.0,26.0,1,5,1,0.0,0.0,0.0
3,2025,3,15.01,1,0,-840.0,887.0,10.0,4,19,4,0.0,0.0,0.0
12,2025,4,15.02,0,2,665.0,1464.0,6.0,7,7,1,0.0,0.0,0.0
3,2025,3,15.01,0,2,421.0,1.0,7.0,2,4,0,0.0,0.0,0.0
1,2025,6,15.02,1,5,388.0,1048.0,50.0,2,1,5,0.0,0.0,0.0
10,2025,4,15.01,0,3,0.0,0.0,0.0,1,12,4,0.0,0.0,0.0
0,2025,5,15.02,0,4,9299.0,7349.0,46.0,39,94,15,0.0,0.0,0.0
2,2025,0,15.01,0,5,274.0,-365.0,-29.0,1,9,1,0.0,0.0,0.0
10,2025,4,15.01,0,1,0.0,0.0,0.0,0,3,3,0.0,0.0,0.0
2,2025,0,15.01,1,2,0.0,0.0,0.0,6,16,0,0.0,0.0,0.0
2,2025,0,15.01,1,2,-131.0,151.0,22.0,1,6,0,0.0,0.0,0.0
9,2025,2,15.02,1,2,-3479.0,-786.0,-14.0,0,0,3,0.0,0.0,0.0
10,2025,4,15.01,1,4,0.0,0.0,0.0,4,8,17,0.0,0.0,0.0
10,2025,4,15.01,1,0,0.0,0.0,0.0,10,3,3,0.0,0.0,0.0
10,2025,4,15.02,0,2,0.0,0.0,0.0,4,10,4,0.0,0.0,0.0
3,2025,3,15.01,0,4,-7481.0,-4477.0,-59.0,8,18,24,0.0,0.0,0.0
2,2025,0,15.01,0,5,-1319.0,-2344.0,-45.0,2,0,4,0.0,0.0,0.0
3,2025,3,15.01,1,1,1813.0,1196.0,16.0,4,9,1,0.0,0.0,0.0
0,2025,5,15.01,0,4,5483.0,3237.0,-9.0,16,45,8,0.0,0.0,0.0
9,2025,2,15.02,0,4,884.0,-624.0,21.0,20,50,19,0.0,0.0,0.0
14,2025,5,15.01,0,4,4533.0,2854.0,81.0,22,51,7,0.0,0.0,0.0
9,2025,2,15.02,0,2,391.0,2490.0,62.0,3,9,3,0.0,0.0,0.0
7,2025,5,15.01,0,0,-168.0,293.0,-12.0,3,10,0,0.0,0.0,0.0
2,2025,0,15.01,1,1,1871.0,2091.0,25.0,8,8,3,0.0,0.0,0.0
2,2025,0,15.01,0,0,271.0,117.0,-11.0,2,3,0,0.0,0.0,0.0
3,2025,3,15.01,0,3,-596.0,-744.0,5.0,0,1,2,0.0,2.0,0.0
4,2025,4,15.01,1,3,-470.0,-644.0,11.0,0,3,3,0.0,0.0,0.0
14,2025,5,15.01,0,0,1182.0,1163.0,36.0,3,0,8,0.0,0.0,0.0
5,2025,5,15.01,0,3,578.0,424.0,1.0,1,17,0,0.0,0.0,0.0
9,2025,2,15.02,1,4,10080.0,5972.0,62.0,38,75,15,0.0,0.0,0.0
17,2025,5,15.01,0,3,83.0,-440.0,-4.0,0,9,1,0.0,0.0,0.0
10,2025,4,15.01,0,4,0.0,0.0,0.0,15,33,24,0.0,0.0,0.0
1,2025,6,15.02,0,3,237.0,738.0,-2.0,1,26,2,0.0,0.0,0.0
2,2025,0,15.01,1,5,-1689.0,-2268.0,-49.0,3,11,3,0.0,0.0,0.0
11,2025,4,15.02,1,1,-634.0,291.0,5.0,0,9,3,0.0,0.0,0.0
14,2025,5,15.01,1,4,-11901.0,-8165.0,-112.0,7,13,20,0.0,0.0,0.0
2,2025,0,15.01,0,3,-220.0,-215.0,-6.0,1,7,3,0.0,0.0,0.0
5,2025,5,15.01,0,4,2675.0,1855.0,53.0,3,6,11,0.0,0.0,0.0
3,2025,3,15.01,1,1,2318.0,2923.0,41.0,9,4,0,1.0,1.0,4.0
5,2025,5,15.02,0,5,-2710.0,-2142.0,-23.0,0,0,3,0.0,0.0,0.0
6,2025,1,15.01,1,0,-1045.0,-1847.0,-29.0,1,8,4,0.0,0.0,0.0
13,2025,5,15.01,1,1,-67.0,883.0,14.0,1,6,0,0.0,0.0,0.0
10,2025,4,15.02,0,5,0.0,0.0,0.0,3,13,1,0.0,0.0,0.0
13,2025,5,15.01,0,5,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0
17,2025,5,15.02,1,3,-767.0,1407.0,0.0,0,7,3,0.0,0.0,0.0
15,2025,5,15.02,0,0,888.0,940.0,32.0,6,3,2,0.0,0.0,0.0
